Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","edc-prod-d20001.is.okte.sk","tcp","5985","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Microsoft-HTTPAPI/2.0"
"10107","","","None","edc-prod-d20001.is.okte.sk","tcp","47001","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Microsoft-HTTPAPI/2.0"
"10150","","","None","edc-prod-d20001.is.okte.sk","tcp","445","Windows NetBIOS / SMB Remote Host Information Disclosure","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.","n/a","","The following 2 NetBIOS names have been gathered :

 EDC-PROD-D20001  = Computer name
 IS               = Workgroup / Domain name
"
"10287","","","None","edc-prod-d20001.is.okte.sk","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.35.160.166 to 10.35.240.2 : 
10.35.160.166
10.35.240.2

Hop Count: 1
"
"10386","","","None","edc-prod-d20001.is.okte.sk","tcp","9182","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","The following title tag will be used :
Windows Exporter"
"10394","","","None","edc-prod-d20001.is.okte.sk","tcp","445","Microsoft Windows SMB Log In Possible","It was possible to log into the remote host.","The remote host is running a Microsoft Windows operating system or
Samba, a CIFS/SMB server for Unix. It was possible to log into it
using one of the following accounts :

- Guest account
- Supplied credentials","n/a","http://www.nessus.org/u?5c2589f6
https://support.microsoft.com/en-us/help/246261","- The SMB tests will be done as IS\nessus/******
- NULL sessions may be enabled on the remote host.
"
"10395","","","None","edc-prod-d20001.is.okte.sk","tcp","445","Microsoft Windows SMB Shares Enumeration","It is possible to enumerate remote network shares.","By connecting to the remote host, Nessus was able to enumerate the
network share names.","n/a","","
Here are the SMB shares available on the remote host when logged in as nessus:

  - ADMIN$
  - C$
  - D$
  - IPC$
"
"10396","","","None","edc-prod-d20001.is.okte.sk","tcp","445","Microsoft Windows SMB Shares Access","It is possible to access a network share.","The remote has one or more Windows shares that can be accessed through
the network with the given credentials.

Depending on the share rights, it may allow an attacker to read /
write confidential data.","To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.","","
The following shares can be accessed as nessus :

- ADMIN$  - (readable,writable)
  + Content of this share :
..
ADFS
appcompat
apppatch
AppReadiness
assembly
AzureArcSetup
bcastdvr
bfsvc.exe
Boot
bootstat.dat
Branding
BrowserCore
CbsTemp
Containers
Cursors
debug
diagnostics
DiagTrack
DigitalLocker
Downloaded Program Files
drivers
DtcInstall.log
ELAMBKUP
en-US
explorer.exe
Fonts
Globalization
Help
HelpPane.exe
hh.exe
IdentityCRL
IME
ImmersiveControlPanel
INF
InputMethod
Installer
L2Schemas
LiveKernelReports
Logs
lsasetup.log
Media
mib.bin
Microsoft.NET
Migration
ModemLogs
notepad.exe
OCR
ODBC.INI
ODBCINST.INI
Offline Web Pages
Panther
Performance
PFRO.log
PLA
PolicyDefinitions
Prefetch
PrintDialog
Provisioning
PSEXESVC.EXE
regedit.exe
Registration
RemotePackages
rescache
Resources
SchCache
schemas
security
ServerStandard.xml
ServiceProfiles
ServiceState
servicing
Setup
ShellComponents
ShellExperiences
sk-SK
SKB
SoftwareDistribution
Speech
Speech_OneCore
splwow64.exe
Sysmon64.exe
sysmonconfig_IS.xml
SysmonDrv.sys
System
system.ini
System32
SystemApps
SystemResources
SystemTemp
SysWOW64
TAPI
Tasks

- C$  - (readable,writable)
  + Content of this share :
$WinREAgent
ADMIN
Documents and Settings
DumpStack.log.tmp
PerfLogs
Program Files
Program Files (x86)
ProgramData
Prometheus
PSWindowsUpdate.log
Recovery
System Volume Information
Users
Windows
windows10.0-kb5035857-x64_f699534e61e7e8e750a7f751f6a1ff4d03bd3ebb.msu

- D$  - (readable,writable)
  + Content of this share :
api.yaml
D2000
dev.yaml
DumpStack.log.tmp
old
oracle
pagefile.sys
System Volume Information
temp
test.txt
text.txt
_backup
_backup_taskscheduler
_FTP
_install
_USERS

"
"10400","","","None","edc-prod-d20001.is.okte.sk","tcp","445","Microsoft Windows SMB Registry Remotely Accessible","Access the remote Windows Registry.","It was possible to access the remote Windows Registry using the login
/ password combination used for the Windows local checks (SMB tests).","n/a","",""
"10456","","","None","edc-prod-d20001.is.okte.sk","tcp","445","Microsoft Windows SMB Service Enumeration","It is possible to enumerate remote services.","This plugin implements the SvcOpenSCManager() and SvcEnumServices()
calls to obtain, using the SMB protocol, the list of active and
inactive services of the remote host.

An attacker may use this feature to gain better knowledge of the
remote host.","To prevent the listing of the services from being obtained, you should
either have tight login restrictions, so that only trusted users can
access your host, and/or you should filter incoming traffic to this
port.","","
Active Services :

Application Information [ Appinfo ] 
Base Filtering Engine [ BFE ] 
Background Tasks Infrastructure Service [ BrokerInfrastructure ] 
Connected Devices Platform Service [ CDPSvc ] 
Certificate Propagation [ CertPropSvc ] 
CoreMessaging [ CoreMessagingRegistrar ] 
Cryptographic Services [ CryptSvc ] 
D2000 - OKTE_EDC_PROD - AR.DBM [ D2000-OKTE_EDC_PROD-AR.DBM ] 
D2000 - OKTE_EDC_PROD - AR.EVH [ D2000-OKTE_EDC_PROD-AR.EVH ] 
D2000 - OKTE_EDC_PROD - DOCM.EVH [ D2000-OKTE_EDC_PROD-DOCM.EVH ] 
D2000 - OKTE_EDC_PROD - EDA.EVH [ D2000-OKTE_EDC_PROD-EDA.EVH ] 
D2000 - OKTE_EDC_PROD - SELF.ALA [ D2000-OKTE_EDC_PROD-SELF.ALA ] 
D2000 - OKTE_EDC_PROD - SELF.CLC [ D2000-OKTE_EDC_PROD-SELF.CLC ] 
D2000 - OKTE_EDC_PROD - SELF.DBM [ D2000-OKTE_EDC_PROD-SELF.DBM ] 
D2000 - OKTE_EDC_PROD - SELF.EVH [ D2000-OKTE_EDC_PROD-SELF.EVH ] 
D2000 - OKTE_EDC_PROD - SELF.KOM [ D2000-OKTE_EDC_PROD-SELF.KOM ] 
D2000 - OKTE_EDC_PROD - SELF.SES [ D2000-OKTE_EDC_PROD-SELF.SES ] 
D2000 - OKTE_EDC_PROD - SYSPROF.EVH [ D2000-OKTE_EDC_PROD-SYSPROF.EVH ] 
D2000 - OKTE_EDC_PROD [ D2000V70_OKTE_EDC_PROD ] 
D2000 JAPI_D2000.DCS 1 [ D2000_JAPI_D2000.DCS_1 ] 
D2000 SELF.ARC 1 [ D2000_SELF.ARC_1 ] 
D2000 SELF.EDS 1 [ D2000_SELF.EDS_1 ] 
D2000 Tomcat [ D2000_Tomcat ] 
D2WD JAPI_D2000.DCS 1 [ D2WD_JAPI_D2000.DCS_1 ] 
D2WD SELF.ARC 1 [ D2WD_SELF.ARC_1 ] 
D2WD SELF.EDS 1 [ D2WD_SELF.EDS_1 ] 
DCOM Server Process Launcher [ DcomLaunch ] 
DHCP Client [ Dhcp ] 
Connected User Experiences and Telemetry [ DiagTrack ] 
Display Policy Service [ DispBrokerDesktopSvc ] 
DNS Client [ Dnscache ] 
Diagnostic Policy Service [ DPS ] 
Data Sharing Service [ DsSvc ] 
Windows Event Log [ EventLog ] 
COM+ Event System [ EventSystem ] 
Windows Font Cache Service [ FontCache ] 
Group Policy Client [ gpsvc ] 
IKE and AuthIP IPsec Keying Modules [ IKEEXT ] 
IP Helper [ iphlpsvc ] 
JEDA RMI Server [ JEdaRmiServer ] 
CNG Key Isolation [ KeyIso ] 
Server [ LanmanServer ] 
Workstation [ LanmanWorkstation ] 
Windows License Manager Service [ LicenseManager ] 
TCP/IP NetBIOS Helper [ lmhosts ] 
Local Session Manager [ LSM ] 
Windows Defender Firewall [ mpssvc ] 
Distributed Transaction Coordinator [ MSDTC ] 
Network Connection Broker [ NcbService ] 
Netlogon [ Netlogon ] 
Network List Service [ netprofm ] 
Network Location Awareness [ NlaSvc ] 
Network Store Interface Service [ nsi ] 
Program Compatibility Assistant Service [ PcaSvc ] 
Plug and Play [ PlugPlay ] 
IPsec Policy Agent [ PolicyAgent ] 
postgresql-x64-15 - PostgreSQL Server 15 [ postgresql-x64-15 ] 
Power [ Power ] 
User Profile Service [ ProfSvc ] 
Remote Access Connection Manager [ RasMan ] 
Remote Registry [ RemoteRegistry ] 
RPC Endpoint Mapper [ RpcEptMapper ] 
Remote Procedure Call (RPC) [ RpcSs ] 
Security Accounts Manager [ SamSs ] 
Task Scheduler [ Schedule ] 
Windows Security Service [ SecurityHealthService ] 
System Event Notification Service [ SENS ] 
Remote Desktop Configuration [ SessionEnv ] 
Shell Hardware Detection [ ShellHWDetection ] 
SNMP Service [ SNMP ] 
Print Spooler [ Spooler ] 
OpenSSH Authentication Agent [ ssh-agent ] 
Secure Socket Tunneling Protocol Service [ SstpSvc ] 
State Repository Service [ StateRepository ] 
Storage Service [ StorSvc ] 
Microsoft Software Shadow Copy Provider [ swprv ] 
SysMain [ SysMain ] 
Sysmon64 [ Sysmon64 ] 
System Events Broker [ SystemEventsBroker ] 
Touch Keyboard and Handwriting Panel Service [ TabletInputService ] 
Remote Desktop Services [ TermService ] 
Themes [ Themes ] 
Time Broker [ TimeBrokerSvc ] 
Web Account Manager [ TokenBroker ] 
Distributed Link Tracking Client [ TrkWks ] 
Windows Modules Installer [ TrustedInstaller ] 
User Access Logging Service [ UALSVC ] 
Remote Desktop Services UserMode Port Redirector [ UmRdpService ] 
User Manager [ UserManager ] 
Update Orchestrator Service [ UsoSvc ] 
Credential Manager [ VaultSvc ] 
Hyper-V Heartbeat Service [ vmicheartbeat ] 
Hyper-V Data Exchange Service [ vmickvpexchange ] 
Hyper-V Guest Shutdown Service [ vmicshutdown ] 
Hyper-V Time Synchronization Service [ vmictimesync ] 
Hyper-V Volume Shadow Copy Requestor [ vmicvss ] 
Volume Shadow Copy [ VSS ] 
Windows Time [ W32Time ] 
Windows Update Medic Service [ WaaSMedicSvc ] 
Wazuh [ WazuhSvc ] 
Windows Connection Manager [ Wcmsvc ] 
Microsoft Defender Antivirus Network Inspection Service [ WdNisSvc ] 
Microsoft Defender Antivirus Service [ WinDefend ] 
windows_exporter [ windows_exporter ] 
WinHTTP Web Proxy Auto-Discovery Service [ WinHttpAutoProxySvc ] 
Windows Management Instrumentation [ Winmgmt ] 
Windows Remote Management (WS-Management) [ WinRM ] 
Windows Push Notifications System Service [ WpnService ] 

Inactive Services :

AllJoyn Router Service [ AJRouter ] 
Application Layer Gateway Service [ ALG ] 
Application Identity [ AppIDSvc ] 
Application Management [ AppMgmt ] 
App Readiness [ AppReadiness ] 
Microsoft App-V Client [ AppVClient ] 
AppX Deployment Service (AppXSVC) [ AppXSvc ] 
Windows Audio Endpoint Builder [ AudioEndpointBuilder ] 
Windows Audio [ Audiosrv ] 
ActiveX Installer (AxInstSV) [ AxInstSV ] 
Background Intelligent Transfer Service [ BITS ] 
Bluetooth Support Service [ bthserv ] 
Capability Access Manager Service [ camsvc ] 
Client License Service (ClipSVC) [ ClipSVC ] 
COM+ System Application [ COMSysApp ] 
Offline Files [ CscService ] 
D2000 - OKTE_EDC_PROD - SELF.ARC [ D2000-OKTE_EDC_PROD-SELF.ARC ] 
D2000 - OKTE_EDC_PROD - SELF.DCS [ D2000-OKTE_EDC_PROD-SELF.DCS ] 
D2000 - OKTE_EDC_PROD - SELF.TCD [ D2000-OKTE_EDC_PROD-SELF.TCD ] 
D2000 - OKTE_EDC_PROD - SELF.TTS [ D2000-OKTE_EDC_PROD-SELF.TTS ] 
D2000 - OKTE_EDC_PROD - SELF.WSC [ D2000-OKTE_EDC_PROD-SELF.WSC ] 
Declared Configuration(DC) service [ dcsvc ] 
Optimize drives [ defragsvc ] 
Device Association Service [ DeviceAssociationService ] 
Device Install Service [ DeviceInstall ] 
DevQuery Background Discovery Broker [ DevQueryBroker ] 
Microsoft (R) Diagnostics Hub Standard Collector Service [ diagnosticshub.standardcollector.service ] 
Device Management Enrollment Service [ DmEnrollmentSvc ] 
Device Management Wireless Application Protocol (WAP) Push message Routing Service [ dmwappushservice ] 
Delivery Optimization [ DoSvc ] 
Wired AutoConfig [ dot3svc ] 
Device Setup Manager [ DsmSvc ] 
Extensible Authentication Protocol [ EapHost ] 
Microsoft Edge Update Service (edgeupdate) [ edgeupdate ] 
Microsoft Edge Update Service (edgeupdatem) [ edgeupdatem ] 
Encrypting File System (EFS) [ EFS ] 
Embedded Mode [ embeddedmode ] 
Enterprise App Management Service [ EntAppSvc ] 
Function Discovery Provider Host [ fdPHost ] 
Function Discovery Resource Publication [ FDResPub ] 
Windows Camera Frame Server [ FrameServer ] 
Windows Camera Frame Server Monitor [ FrameServerMonitor ] 
GraphicsPerfSvc [ GraphicsPerfSvc ] 
Human Interface Device Service [ hidserv ] 
HV Host Service [ HvHost ] 
Microsoft Store Install Service [ InstallService ] 
KDC Proxy Server service (KPS) [ KPSSVC ] 
KtmRm for Distributed Transaction Coordinator [ KtmRm ] 
Geolocation Service [ lfsvc ] 
Link-Layer Topology Discovery Mapper [ lltdsvc ] 
Downloaded Maps Manager [ MapsBroker ] 
McpManagementService [ McpManagementService ] 
Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) [ MicrosoftEdgeElevationService ] 
Microsoft iSCSI Initiator Service [ MSiSCSI ] 
Windows Installer [ msiserver ] 
Network Connectivity Assistant [ NcaSvc ] 
Network Connections [ Netman ] 
Network Setup Service [ NetSetupSvc ] 
Net.Tcp Port Sharing Service [ NetTcpPortSharing ] 
Microsoft Passport Container [ NgcCtnrSvc ] 
Microsoft Passport [ NgcSvc ] 
OracleRemExecServiceV2 [ OracleRemExecServiceV2 ] 
Performance Counter DLL Host [ PerfHost ] 
Performance Logs & Alerts [ pla ] 
Printer Extensions and Notifications [ PrintNotify ] 
Windows PushToInstall Service [ PushToInstall ] 
Quality Windows Audio Video Experience [ QWAVE ] 
Remote Access Auto Connection Manager [ RasAuto ] 
Routing and Remote Access [ RemoteAccess ] 
Radio Management Service [ RmSvc ] 
Remote Procedure Call (RPC) Locator [ RpcLocator ] 
Resultant Set of Policy Provider [ RSoPProv ] 
Special Administration Console Helper [ sacsvr ] 
Smart Card [ SCardSvr ] 
Smart Card Device Enumeration Service [ ScDeviceEnum ] 
Smart Card Removal Policy [ SCPolicySvc ] 
Secondary Logon [ seclogon ] 
Payments and NFC/SE Manager [ SEMgrSvc ] 
Windows Defender Advanced Threat Protection Service [ Sense ] 
Sensor Data Service [ SensorDataService ] 
Sensor Service [ SensorService ] 
Sensor Monitoring Service [ SensrSvc ] 
System Guard Runtime Monitor Broker [ SgrmBroker ] 
Internet Connection Sharing (ICS) [ SharedAccess ] 
Shared PC Account Manager [ shpamsvc ] 
Microsoft Storage Spaces SMP [ smphost ] 
SNMP Trap [ SNMPTRAP ] 
Software Protection [ sppsvc ] 
SSDP Discovery [ SSDPSRV ] 
OpenSSH SSH Server [ sshd ] 
Windows Image Acquisition (WIA) [ StiSvc ] 
Spot Verifier [ svsvc ] 
Telephony [ tapisrv ] 
Storage Tiers Management [ TieringEngineService ] 
Auto Time Zone Updater [ tzautoupdate ] 
User Experience Virtualization Service [ UevAgentService ] 
UPnP Device Host [ upnphost ] 
Virtual Disk [ vds ] 
Hyper-V Guest Service Interface [ vmicguestinterface ] 
Hyper-V PowerShell Direct Service [ vmicvmsession ] 
WalletService [ WalletService ] 
Warp JIT Service [ WarpJITSvc ] 
Windows Biometric Service [ WbioSrvc ] 
Diagnostic Service Host [ WdiServiceHost ] 
Diagnostic System Host [ WdiSystemHost ] 
Windows Event Collector [ Wecsvc ] 
Windows Encryption Provider Host Service [ WEPHOSTSVC ] 
Problem Reports Control Panel Support [ wercplsupport ] 
Windows Error Reporting Service [ WerSvc ] 
Still Image Acquisition Events [ WiaRpc ] 
Windows Insider Service [ wisvc ] 
Microsoft Account Sign-in Assistant [ wlidsvc ] 
WMI Performance Adapter [ wmiApSrv ] 
Windows Media Player Network Sharing Service [ WMPNetworkSvc ] 
Portable Device Enumerator Service [ WPDBusEnum ] 
Windows Search [ WSearch ] 
Windows Update [ wuauserv ] 
"
