Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","edc-uat-d20001.is.okte.sk","tcp","5985","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Microsoft-HTTPAPI/2.0"
"10107","","","None","edc-uat-d20001.is.okte.sk","tcp","47001","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Microsoft-HTTPAPI/2.0"
"10150","","","None","edc-uat-d20001.is.okte.sk","tcp","445","Windows NetBIOS / SMB Remote Host Information Disclosure","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.","n/a","","The following 2 NetBIOS names have been gathered :

 EDC-UAT-D20001   = Computer name
 IS               = Workgroup / Domain name
"
"10267","","","None","edc-uat-d20001.is.okte.sk","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_for_Windows_9.8 Win32-OpenSSH-GitHub
SSH supported authentication : password
"
"10287","","","None","edc-uat-d20001.is.okte.sk","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.35.160.166 to 10.35.242.2 : 
10.35.160.166
10.35.242.2

Hop Count: 1
"
"10386","","","None","edc-uat-d20001.is.okte.sk","tcp","9182","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","The following title tag will be used :
Windows Exporter"
"10394","","","None","edc-uat-d20001.is.okte.sk","tcp","445","Microsoft Windows SMB Log In Possible","It was possible to log into the remote host.","The remote host is running a Microsoft Windows operating system or
Samba, a CIFS/SMB server for Unix. It was possible to log into it
using one of the following accounts :

- Guest account
- Supplied credentials","n/a","http://www.nessus.org/u?5c2589f6
https://support.microsoft.com/en-us/help/246261","- The SMB tests will be done as IS\nessus/******
- NULL sessions may be enabled on the remote host.
"
"10395","","","None","edc-uat-d20001.is.okte.sk","tcp","445","Microsoft Windows SMB Shares Enumeration","It is possible to enumerate remote network shares.","By connecting to the remote host, Nessus was able to enumerate the
network share names.","n/a","","
Here are the SMB shares available on the remote host when logged in as nessus:

  - ADMIN$
  - C$
  - D$
  - IPC$
"
"10396","","","None","edc-uat-d20001.is.okte.sk","tcp","445","Microsoft Windows SMB Shares Access","It is possible to access a network share.","The remote has one or more Windows shares that can be accessed through
the network with the given credentials.

Depending on the share rights, it may allow an attacker to read /
write confidential data.","To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.","","
The following shares can be accessed as nessus :

- ADMIN$  - (readable,writable)
  + Content of this share :
..
ADFS
appcompat
apppatch
AppReadiness
assembly
AzureArcSetup
bcastdvr
bfsvc.exe
Boot
bootstat.dat
Branding
BrowserCore
CbsTemp
Containers
Cursors
debug
diagnostics
DiagTrack
DigitalLocker
Downloaded Program Files
drivers
DtcInstall.log
ELAMBKUP
en-US
explorer.exe
Fonts
Globalization
Help
HelpPane.exe
hh.exe
IdentityCRL
IME
ImmersiveControlPanel
INF
InputMethod
Installer
L2Schemas
LiveKernelReports
Logs
lsasetup.log
Media
mib.bin
Microsoft.NET
Migration
ModemLogs
notepad.exe
OCR
ODBC.INI
ODBCINST.INI
Offline Web Pages
Panther
Performance
PFRO.log
PLA
PolicyDefinitions
Prefetch
PrintDialog
Provisioning
PSEXESVC.exe
regedit.exe
Registration
RemotePackages
rescache
Resources
SchCache
schemas
security
ServerStandard.xml
ServiceProfiles
ServiceState
servicing
Setup
ShellComponents
ShellExperiences
SKB
SoftwareDistribution
Speech
Speech_OneCore
splwow64.exe
Sysmon64.exe
sysmonconfig_IS.xml
SysmonDrv.sys
System
system.ini
System32
SystemApps
SystemResources
SystemTemp
SysWOW64
TAPI
Tasks
Temp

- C$  - (readable,writable)
  + Content of this share :
$WinREAgent
ADMIN
Documents and Settings
DumpStack.log.tmp
pagefile.sys
PerfLogs
Program Files
Program Files (x86)
ProgramData
Prometheus
Recovery
System Volume Information
Users
Windows

- D$  - (readable,writable)
  + Content of this share :
api.yaml
D2000
dev.yaml
edccore_openapi.yaml
oracle
System Volume Information
_BACKUP
_FTP
_install
_Users

"
"10400","","","None","edc-uat-d20001.is.okte.sk","tcp","445","Microsoft Windows SMB Registry Remotely Accessible","Access the remote Windows Registry.","It was possible to access the remote Windows Registry using the login
/ password combination used for the Windows local checks (SMB tests).","n/a","",""
