id,vuln_id,server_group,link,vulnerability
"1","08c9e22186","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id5","186366 (8) - Apache Tomcat 10.1.0.M1 &lt; 10.1.16"
"2","029392c969","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id6","201843 (8) - Apache Tomcat 10.1.0.M1 &lt; 10.1.25"
"3","564866f0d1","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id7","235033 (8) - Apache Tomcat 10.1.0.M1 &lt; 10.1.40 multiple vulnerabilities"
"4","15d218d7a4","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id8","237499 (8) - Apache Tomcat 10.1.0.M1 &lt; 10.1.41"
"5","74b8010ffc","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id9","240058 (8) - Apache Tomcat 10.1.0.M1 &lt; 10.1.42 multiple vulnerabilities"
"6","5e248f5db8","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id10","241705 (8) - Apache Tomcat 10.1.0.M1 &lt; 10.1.43 multiple vulnerabilities"
"7","2b646379a3","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id11","243577 (8) - Apache Tomcat 10.1.0.M1 &lt; 10.1.40 multiple vulnerabilities"
"8","c06b4539cd","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id12","249230 (8) - Apache Tomcat 10.1.0.M1 &lt; 10.1.44"
"9","f8de794756","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id13","180360 (4) - 7-Zip &lt; 23.00 Multiple Vulnerabilities"
"10","2289aa0388","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id14","181867 (4) - Notepad++ &lt; 8.5.7 Multiple Buffer Overflow Vulnerabilities"
"11","6411933665","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id15","209231 (4) - 7-Zip &lt; 24.01 Heap-based Buffer Overflow"
"12","94615a7010","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id16","211725 (4) - 7-Zip &lt; 24.07 RCE (ZDI-24-1532)"
"13","554d90a367","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id17","214122 (4) - KB5049983: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (January 2025)"
"14","f43350e06d","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id18","214274 (4) - Security Updates for Microsoft .NET Framework (January 2025)"
"15","d6de628f78","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id19","214542 (4) - 7-Zip &lt; 24.09 (ZDI-25-045)"
"16","c8ed463db2","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id20","216140 (4) - KB5051979: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (February 2025)"
"17","50c796eac5","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id21","232621 (4) - KB5053603: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (March 2025)"
"18","0de9fdd4a8","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id22","234042 (4) - KB5055526: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (April 2025)"
"19","b13a1e21cf","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id23","235856 (4) - KB5058385: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (May 2025)"
"20","48f81ee006","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id24","238083 (4) - KB5060526: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (June 2025)"
"21","f4c1b490c9","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id25","240630 (4) - Notepad++ &lt; 8.8.2 Privilege Escalation (CVE-2025-49144)"
"22","0708435628","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id26","241550 (4) - KB5062572: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (July 2025)"
"23","2116d06d03","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id27","103569 (3) - Windows Defender Antimalware/Antivirus Signature Definition Check"
"24","df8002eab0","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id28","250295 (3) - Microsoft Edge (Chromium) &lt; 139.0.3405.102 Multiple Vulnerabilities"
"25","5983a91141","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id29","175601 (2) - PostgreSQL 11.x &lt; 11.20 / 12.x &lt; 12.15 / 13.x &lt; 13.11 / 14.x &lt; 14.8 / 15.x &lt; 15.3 Multiple Vulnerabilities"
"26","e4caa7f276","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id30","179922 (2) - PostgreSQL 11.x &lt; 11.21 / 12.x &lt; 12.16 / 13.x &lt; 13.12 / 14.x &lt; 14.9 / 15.x &lt; 15.4 Multiple Vulnerabilities"
"27","8e54b21bfd","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id31","185732 (2) - PostgreSQL 11.x &lt; 11.22 / 12.x &lt; 12.17 / 13.x &lt; 13.13 / 14.x &lt; 14.10 / 15.x &lt; 15.5 / 16.x &lt; 16.1 Multiple Vulnerabilities"
"28","5d00f8637c","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id32","190512 (2) - PostgreSQL 12.x &lt; 12.18 / 13.x &lt; 13.14 / 14.x &lt; 14.11 / 15.x &lt; 15.6 SQL Injection"
"29","c26cd303cb","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id33","205594 (2) - PostgreSQL 12.x &lt; 12.20 / 13.x &lt; 13.16 / 14.x &lt; 14.13 / 15.x &lt; 15.8 / 16.x 16.4 SQL Injection&lt;"
"30","747a139646","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id34","211655 (2) - PostgreSQL 12.x &lt; 12.21 / 13.x &lt; 13.17 / 14.x &lt; 14.14 / 15.x &lt; 15.9 / 16.x &lt; 16.5 / 17.x &lt; 17.1 Multiple Vulnerabilities"
"31","083cb2de93","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id35","216586 (2) - PostgreSQL 13.x &lt; 13.19 / 14.x &lt; 14.16 / 15.x &lt; 15.11 / 16.x &lt; 16.7 / 17.x &lt; 17.3 SQLi"
"32","c893750a9f","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id36","242849 (2) - Microsoft Edge (Chromium) &lt; 138.0.3351.109 Multiple Vulnerabilities"
"33","9f953d4bcf","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id37","243240 (2) - Microsoft Edge (Chromium) &lt; 138.0.3351.121 (CVE-2025-8292)"
"34","45848c68ae","EDC PROD servers","http://10.35.160.166/PLUGIN/08/EDC PROD servers_m2acl4.html#id38","245584 (2) - Microsoft Edge (Chromium) &lt; 139.0.3405.86 Multiple Vulnerabilities"
"35","5d0504e722","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id15","186366 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.16"
"36","90004ef73a","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id16","201843 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.25"
"37","12d0b08515","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id17","235033 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.40 multiple vulnerabilities"
"38","fda8977b79","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id18","237499 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.41"
"39","69c4cdb725","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id19","240058 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.42 multiple vulnerabilities"
"40","cb42ef2e57","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id20","241705 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.43 multiple vulnerabilities"
"41","e21be8e0e5","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id21","243577 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.40 multiple vulnerabilities"
"42","349a0d205b","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id22","249230 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.44"
"43","09f9606e87","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id23","103569 (3) - Windows Defender Antimalware/Antivirus Signature Definition Check"
"44","0a04a59b5c","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id24","180360 (3) - 7-Zip &lt; 23.00 Multiple Vulnerabilities"
"45","d45a477ef7","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id25","193433 (3) - PuTTY &lt; 0.81 Key Recovery Attack Vulnerability"
"46","9a826d3581","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id26","209231 (3) - 7-Zip &lt; 24.01 Heap-based Buffer Overflow"
"47","d0b6164ccd","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id27","211725 (3) - 7-Zip &lt; 24.07 RCE (ZDI-24-1532)"
